Loading pre-computed embeddings from cache: /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
Emb cache: loaded iv=(92115, 1152) ex=(92115, 1152) from /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
[full_iv_ex/frozen] epoch 36/200 loss=2.1410 iv_val=0.9732 ex_val=0.9734 bal_val=0.9733 ex2iv=0.0860 align=0.4863 cpair=0.0000
[full_iv_ex/frozen] epoch 37/200 loss=2.1391 iv_val=0.9739 ex_val=0.9730 bal_val=0.9734 ex2iv=0.0872 align=0.4852 cpair=0.0000
[full_iv_ex/frozen] epoch 38/200 loss=2.1376 iv_val=0.9726 ex_val=0.9685 bal_val=0.9706 ex2iv=0.0892 align=0.4845 cpair=0.0000
[full_iv_ex/frozen] epoch 39/200 loss=2.1369 iv_val=0.9709 ex_val=0.9656 bal_val=0.9682 ex2iv=0.0844 align=0.4837 cpair=0.0000
[full_iv_ex/frozen] epoch 40/200 loss=2.1357 iv_val=0.9743 ex_val=0.9660 bal_val=0.9702 ex2iv=0.0859 align=0.4836 cpair=0.0000
[full_iv_ex/frozen] epoch 41/200 loss=2.1362 iv_val=0.9714 ex_val=0.9695 bal_val=0.9705 ex2iv=0.0833 align=0.4835 cpair=0.0000
[full_iv_ex/frozen] epoch 42/200 loss=2.1372 iv_val=0.9756 ex_val=0.9717 bal_val=0.9737 ex2iv=0.0841 align=0.4832 cpair=0.0000
[full_iv_ex/frozen] epoch 43/200 loss=2.1349 iv_val=0.9753 ex_val=0.9748 bal_val=0.9751 ex2iv=0.0758 align=0.4833 cpair=0.0000
[full_iv_ex/frozen] epoch 44/200 loss=2.1351 iv_val=0.9769 ex_val=0.9663 bal_val=0.9716 ex2iv=0.0834 align=0.4840 cpair=0.0000
[full_iv_ex/frozen] epoch 45/200 loss=2.1336 iv_val=0.9742 ex_val=0.9675 bal_val=0.9709 ex2iv=0.0864 align=0.4821 cpair=0.0000
[full_iv_ex/frozen] epoch 46/200 loss=2.1338 iv_val=0.9752 ex_val=0.9636 bal_val=0.9694 ex2iv=0.0769 align=0.4818 cpair=0.0000
[full_iv_ex/frozen] epoch 47/200 loss=2.1335 iv_val=0.9752 ex_val=0.9657 bal_val=0.9705 ex2iv=0.0892 align=0.4821 cpair=0.0000
[full_iv_ex/frozen] epoch 48/200 loss=2.1349 iv_val=0.9748 ex_val=0.9623 bal_val=0.9685 ex2iv=0.0862 align=0.4826 cpair=0.0000
